iteration,best_fitness,avg_fitness,method
0,1362.1188924470762,1362.1188924470762,profit_distance
1,1343.7698425303915,1352.9443674887339,profit
2,1383.4728323525796,1363.120522443349,nearest
3,1383.4728323525796,1368.2085999206568,savings
