iteration,best_fitness,avg_fitness,method
0,582.8951569613415,582.8951569613415,profit_distance
1,521.2052608851619,552.0502089232517,profit
2,574.5621997361517,559.554205860885,nearest
3,574.5621997361517,563.3062043297017,savings
