iteration,best_fitness,avg_fitness,diversity,pheromone_avg,pheromone_max,pheromone_min
0,197.69995437933093,108.51211765534741,1.049731349187722,1.7411956018730401,1.8,0.026605589294582295
1,197.69995437933093,86.72993008153749,1.2201491198336805,1.5193464438757787,1.6342857142857143,0.02
2,197.69995437933093,81.05441455777101,1.271611945598516,1.3282922472877814,1.4791111111111113,0.02
3,197.69995437933093,75.76030031558916,1.3172350413692628,1.1629202949333062,1.3454857142857144,0.02
4,197.69995437933093,75.86362488180896,1.3376371086035461,1.0192582362533984,1.223437142857143,0.02
5,197.69995437933093,79.83618325579636,1.2619013852168273,0.893770586690943,1.1135934285714286,0.02
6,197.69995437933093,82.46893753903863,1.2999061112886507,0.7849183692072371,1.0133451968253968,0.02
7,197.69995437933093,85.27708578534089,1.282188287476865,0.6899163927484206,0.9120106771428571,0.02
8,197.69995437933093,88.11557293247883,1.2567367184145721,0.6070548064324838,0.8350953237142856,0.02
9,197.69995437933093,89.43289017651284,1.253947929276793,0.534620532874843,0.7626969024539682,0.02
10,197.69995437933093,90.46666942293457,1.250601269970394,0.4711079111718087,0.6975383233196825,0.02
11,197.69995437933093,90.7819282607083,1.2387199253642283,0.415604223725236,0.6388956020988253,0.02
12,197.69995437933093,95.4479242836037,1.1941735346433286,0.3668804075921923,0.589291756174657,0.02
13,197.69995437933093,96.7180667723816,1.1607985963824867,0.3242066910225264,0.5303625805571913,0.02
14,197.69995437933093,99.39111179380528,1.1628252773823387,0.2867214792309257,0.48843743361258335,0.02
15,197.69995437933093,100.23515070588526,1.1434404931384832,0.2537674013607074,0.439593690251325,0.02
16,197.69995437933093,101.90786428288992,1.1261138389326306,0.22476178635422814,0.40813432122619253,0.02
17,197.69995437933093,105.77982109562411,1.0966813420236243,0.19922852848736572,0.3768232891922533,0.02
18,197.69995437933093,109.16829163662486,1.060892587402659,0.17671008354437912,0.35342667455874227,0.02
19,197.69995437933093,105.1838516196604,1.0602977296131582,0.15684058838894113,0.31864103128500554,0.02
20,197.69995437933093,106.78372492742962,1.0494066505207469,0.1393035644481764,0.30056132067829555,0.02
21,197.69995437933093,107.06689822598179,1.07309012911026,0.12380996047759789,0.2847909028961803,0.02
22,197.69995437933093,107.96027517867877,1.04974899597047,0.11011426687371953,0.27059752689227656,0.02
23,197.69995437933093,106.02521746105316,1.0582738002738015,0.09799888485825417,0.2578234884887632,0.02
24,197.69995437933093,106.54557940392033,1.0556099764019167,0.08726553300659004,0.24632685392560116,0.02
25,197.69995437933093,107.29911980681607,1.0483726171914112,0.0777575372152653,0.23597988281875534,0.02
