iteration,best_fitness,avg_fitness,method
0,755.3443546362153,755.3443546362153,profit_distance
1,701.3969293341319,728.3706419851735,profit
2,795.351492206267,750.6975920588715,nearest
3,795.351492206267,761.8610670957203,savings
