iteration,best_fitness,avg_fitness,diversity
0,535.0006709200187,332.6855349884466,0.47035657460544716
1,535.0006709200187,341.6334856020149,0.4639431636095511
2,535.0006709200187,333.72055552463536,0.47375018130832847
3,535.0006709200187,335.94074021884,0.4668309633200414
4,535.0006709200187,333.56488728564085,0.474728490507873
5,537.7918070668692,334.7705558849064,0.47827617955002033
6,537.7918070668692,348.8602213924015,0.4658364022146844
7,547.6112476182356,343.2325105671399,0.46173673507486307
8,547.6112476182356,343.2971300198242,0.4695394576563409
9,547.6112476182356,342.2022643563669,0.46448903714091766
10,547.6112476182356,339.4477722291311,0.46961553344034673
11,547.6112476182356,341.17357326686863,0.4666815263923318
12,547.6112476182356,341.23338131416756,0.47018141232510524
13,547.6112476182356,345.58252278348147,0.45813488057394536
14,547.6112476182356,360.28806327036364,0.4302366935390868
15,547.6112476182356,346.82872396169313,0.4581859594624027
16,547.6112476182356,343.59616962500314,0.4614953861183171
17,547.6112476182356,346.4016435261089,0.4502185484119036
18,547.6112476182356,348.811833187657,0.45848115679822227
19,549.4043164208362,338.5470008805051,0.4822234300732976
20,555.4620291110383,330.63034363376244,0.48459625154492597
21,555.4620291110383,331.6711811192748,0.4786397721558052
22,555.4620291110383,341.8733620942915,0.46280247439704475
23,555.4620291110383,345.72197352003946,0.45898040754748654
24,555.4620291110383,343.96819576817063,0.4437372019693797
25,555.4620291110383,335.48335867915546,0.48610846245281947
26,555.4620291110383,333.50693083360113,0.48794726300796193
27,555.4620291110383,343.4435100871318,0.4574866996165948
28,555.4620291110383,351.68627235848163,0.44028116144916996
29,555.4620291110383,342.6540126738405,0.4464905543691828
30,555.4620291110383,338.07348050774635,0.46985479667177954
31,555.4620291110383,339.89920781170855,0.471884785756567
32,555.4620291110383,356.32871246580606,0.4466824151745736
33,555.4620291110383,342.9930103656213,0.46443766813800713
34,555.4620291110383,346.8701333494422,0.46366066594653477
35,555.4620291110383,356.59438184572537,0.42517453671280775
36,555.4620291110383,332.85647220789735,0.45513829375681264
37,555.4620291110383,336.24459398962085,0.46636461515739214
38,555.4620291110383,337.04058205300095,0.47017034689494475
39,555.4620291110383,344.9037179307637,0.44164767463502236
40,555.4620291110383,336.37870814343046,0.46246015604197865
41,555.4620291110383,347.38054875186947,0.4413134256159713
42,555.4620291110383,338.9394917600807,0.4608264581190452
43,555.4620291110383,340.1492578456637,0.4678103137943006
44,555.4620291110383,335.8210577932186,0.4566623248439786
45,555.4620291110383,351.66626604019166,0.44101803015699165
46,555.4620291110383,348.9250529587864,0.45242912655068823
47,555.4620291110383,344.2472745614255,0.44988098752628114
48,555.4620291110383,345.2266788766389,0.47037081033539974
49,555.4620291110383,337.2177927565117,0.4725891184377112
50,555.4620291110383,336.0061823992667,0.46665762852947906
51,555.4620291110383,349.86601986175424,0.4395813167837789
52,555.4620291110383,339.2480788465978,0.4662700670276057
53,555.4620291110383,347.2669084186313,0.4579508479578256
54,555.4620291110383,340.8641271332058,0.4722360301336716
55,555.4620291110383,334.73184995283066,0.46204640276400927
56,555.4620291110383,335.58641728865314,0.4557159258081058
57,555.4620291110383,335.97717838944214,0.473908171410676
58,555.4620291110383,344.87290235422637,0.45151524167365753
59,555.4620291110383,345.32556139751904,0.44242008482958595
60,555.4620291110383,347.85162868719794,0.4412131517755719
61,555.4620291110383,346.1413454605417,0.4485361888374187
62,555.4620291110383,348.8787141286118,0.4489259787458346
63,555.4620291110383,341.9554187642238,0.4726738630742514
64,555.4620291110383,344.1724306259263,0.45891305566023666
65,555.4620291110383,332.5567025032378,0.47817096445217827
