iteration,best_fitness,avg_fitness,method
0,1292.0303406002606,1292.0303406002606,profit_distance
1,1163.7343778305767,1227.8823592154185,profit
2,1176.7086682314266,1210.8244622207546,nearest
3,1176.7086682314266,1202.2955137234226,savings
