iteration,best_fitness,avg_fitness,diversity
0,290.24175083843573,171.13948472662628,0.7087420119542194
1,290.24175083843573,172.4352871561923,0.7196678180792052
2,290.24175083843573,170.59787301034183,0.7171492035183454
3,290.24175083843573,169.81464006068657,0.7321807296606153
4,290.40520119160647,165.03668469264522,0.738588279539337
5,290.40520119160647,170.27949557048484,0.7173546113783088
6,290.40520119160647,172.47305596102893,0.7058280938111359
7,290.40520119160647,168.62695589655658,0.7047944143850343
8,290.40520119160647,170.01689027089373,0.720362506000094
9,290.40520119160647,167.22975140307216,0.7173233676589549
10,290.40520119160647,166.93922781507072,0.7299888348261944
11,290.40520119160647,168.0266956223326,0.7267531856659543
12,290.40520119160647,168.2891562995876,0.7276051611823593
13,290.40520119160647,170.98627875003203,0.7083938353614767
14,290.40520119160647,167.3223588393079,0.7162217114230681
15,290.40520119160647,163.04148735300691,0.7534053567610712
16,290.40520119160647,166.00842032620346,0.735591879659007
17,290.40520119160647,173.711247404656,0.7154337954160465
18,290.40520119160647,167.43054715421883,0.7116516975443316
19,290.40520119160647,170.73880759701407,0.7151259158440527
20,290.40520119160647,166.78930945303262,0.7070322108912848
21,293.3990073046161,165.22749830301032,0.7317538779668816
22,293.3990073046161,174.8463943763068,0.7107569627299326
23,293.3990073046161,164.32373176577866,0.7291508047011587
24,293.3990073046161,167.2496774997182,0.7344334483562796
25,293.3990073046161,165.0359485173762,0.7551254923301988
26,293.3990073046161,171.9575562153322,0.712127364980512
27,293.3990073046161,163.76637904189025,0.7296563045382756
28,293.3990073046161,164.50945910551246,0.7361479920775361
29,293.3990073046161,168.0227195813371,0.7197351703727597
30,293.3990073046161,166.71332476541886,0.7385445279596615
31,293.3990073046161,162.65666481904861,0.7444996345936002
32,293.3990073046161,172.37864244367856,0.7358715212205353
33,293.3990073046161,164.61118180652977,0.7261952132250392
34,293.3990073046161,169.3858457517394,0.7298463369839423
35,293.3990073046161,163.00757046659274,0.7435076897996459
36,293.3990073046161,163.81201762239596,0.7328056192612077
37,293.3990073046161,166.04161840764712,0.7379665956713055
38,293.3990073046161,168.63384250333942,0.7266308918523801
39,293.3990073046161,166.93775129337163,0.7293875594949468
40,293.3990073046161,167.7073357628341,0.7371459889630213
41,293.3990073046161,167.3475276591159,0.7243916861165315
42,293.3990073046161,168.4248929068858,0.7281198182584067
43,293.3990073046161,171.42884473847764,0.7185748037037114
44,293.3990073046161,164.95978985139408,0.7208014621105951
45,293.3990073046161,167.6118682525826,0.729722758854234
46,293.3990073046161,169.35348880664912,0.7360372798963535
47,293.3990073046161,171.15606421500877,0.7335427704286898
48,293.3990073046161,165.7234106936279,0.7247228143469966
49,293.3990073046161,169.56346924484583,0.7286019970949098
50,293.3990073046161,167.4419026040444,0.739280982750794
51,293.3990073046161,169.631886523202,0.7277236109506201
52,293.3990073046161,162.6995391846312,0.7329022223116217
53,293.3990073046161,169.3782973117707,0.7152519887447035
54,293.3990073046161,173.50868050510763,0.7273062288854015
55,293.3990073046161,171.0356986134439,0.7304742767285272
56,293.3990073046161,168.80447479257825,0.7181514717681415
57,293.3990073046161,171.27550136623069,0.7309587425047515
58,293.3990073046161,165.96047784324722,0.7321105844193135
59,293.3990073046161,169.5321996124646,0.7096323968102554
60,293.3990073046161,172.1721206833977,0.7141075293088825
61,293.3990073046161,166.40411304892842,0.7262715185634712
62,293.3990073046161,166.90716390396582,0.6993381895261148
63,293.3990073046161,169.0537665778426,0.7255051776242222
64,293.3990073046161,174.90213422246563,0.7030019318240915
65,293.3990073046161,173.9902606626653,0.7238129679170126
66,293.3990073046161,170.8308956775083,0.7072717441643696
67,293.3990073046161,168.66074012157927,0.7470212546588483
68,293.3990073046161,169.14357783059702,0.7216327334258686
69,293.3990073046161,170.97633351823623,0.6984048976129668
70,293.3990073046161,169.54618710511775,0.7234055556673153
