iteration,best_fitness,avg_fitness,method
0,1351.6590840703825,1351.6590840703825,profit_distance
1,1348.6190434914765,1350.1390637809295,profit
2,1123.323724166098,1274.5339505759857,nearest
3,1144.9146896163224,1242.1291353360698,savings
