iteration,best_fitness,avg_fitness,method
0,1142.6599553616752,1142.6599553616752,profit_distance
1,1192.8556702336316,1167.7578127976535,profit
2,890.3034915862914,1075.2730390605327,nearest
3,890.3034915862914,1029.0306521919724,savings
