iteration,best_fitness,avg_fitness,diversity,pheromone_avg,exploitation_rate
0,287.6028114519412,218.0338245808958,0.796469998951648,1.8097441510166203,0.7
1,287.6028114519412,217.5315551309383,0.762595047756125,1.6399188639230529,0.7016
2,287.6028114519412,217.84414340185748,0.7429305197660967,1.48692789692537,0.7031999999999999
3,287.6028114519412,216.94031810742726,0.7700211670010421,1.3488088558925702,0.7048
4,287.6028114519412,218.24809846214728,0.7423711760523949,1.2249903274814071,0.7063999999999999
5,287.6028114519412,218.4201111010707,0.7374878592843557,1.1140822266365722,0.708
6,287.6028114519412,221.92338896638563,0.7516977697917402,1.013057056112653,0.7096
7,287.6028114519412,221.06407836882926,0.7656604591034278,0.9227577012813483,0.7111999999999999
8,287.6028114519412,220.8260485269414,0.7416819781087521,0.8415978783072442,0.7128
9,287.6028114519412,220.61328378633524,0.7305271246277947,0.7682078338812985,0.7143999999999999
10,287.6028114519412,222.87215553039064,0.7310149637469158,0.7010011956935419,0.716
11,287.6028114519412,219.05516974384432,0.752946611429841,0.6414126288776444,0.7176
12,287.6028114519412,222.53548824987786,0.7348870657058607,0.5871593310847789,0.7192
13,287.6028114519412,216.5433657552747,0.7534160259328112,0.5387220914094295,0.7208
14,298.66133880985626,224.25478934663604,0.665944528998234,0.4951847616141471,0.7223999999999999
15,298.66133880985626,222.90540942224877,0.6990163952817051,0.45560374239321794,0.724
16,298.66133880985626,222.04606002621367,0.7316671141436243,0.41986783372893144,0.7255999999999999
17,298.66133880985626,224.1154370538435,0.6580939265805097,0.3871158445874401,0.7272
18,298.66133880985626,223.01219206345485,0.6894100339133956,0.3584722492454482,0.7288
19,298.66133880985626,223.97031248481056,0.708947124091428,0.33243677988935294,0.7303999999999999
20,298.66133880985626,223.7282341491068,0.6899308819443193,0.30905600236261294,0.732
21,298.66133880985626,224.98810362498844,0.6959688231231903,0.2881527280831244,0.7335999999999999
22,298.66133880985626,221.56818066606544,0.6376895669726342,0.26910852084120424,0.7352
23,298.66133880985626,225.40847960155563,0.7096559584644909,0.25271520831902855,0.7368
24,298.66133880985626,222.78162364036544,0.7069298263258084,0.2373727469644015,0.7384
25,308.04938455221856,223.74148063461058,0.6788316662647569,0.2233732864299574,0.74
26,308.04938455221856,225.57337587915598,0.6938691157214765,0.2104238992911961,0.7415999999999999
27,308.04938455221856,223.7366938847494,0.7080075360442687,0.1993843784300923,0.7432
28,308.04938455221856,225.17101649276043,0.6614059094390728,0.1890111888528219,0.7448
29,308.04938455221856,225.60954623952887,0.7013458716569815,0.17942974275488116,0.7464
30,308.04938455221856,223.13729601612164,0.7030186303877689,0.17116206074381698,0.748
31,308.04938455221856,226.3654828021138,0.6664143947029827,0.1634230809126986,0.7495999999999999
32,308.04938455221856,228.14469487141412,0.6416252817089841,0.15593979644828598,0.7512
