iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate
0,341.98348433636744,296.23133694066735,0.28333670001648564,0.15,0.85
1,342.63888894518004,300.5749926207387,0.2536009449070127,0.15,0.85
2,342.63888894518004,316.5247505913598,0.18165255934729788,0.15,0.85
3,342.63888894518004,321.99369458314203,0.11589184484541767,0.15,0.85
4,342.63888894518004,328.53531552238985,0.05111273462965153,0.15,0.85
5,342.63888894518004,321.72618950094864,0.0,0.15,0.85
6,342.75730332441896,328.4725999224933,0.0,0.15,0.85
7,344.71100402087086,328.8905032874118,0.0,0.15,0.85
8,344.71100402087086,322.58227549481455,0.0,0.15,0.85
9,344.71100402087086,321.92709503769095,0.0,0.15,0.85
10,344.71100402087086,318.9233186932145,0.0,0.15,0.85
11,344.71100402087086,316.0722643228081,0.0,0.15,0.85
12,344.71100402087086,326.4956400018225,0.0,0.15,0.85
13,344.71100402087086,335.2370541787589,0.0,0.15,0.85
14,344.71100402087086,326.1324301140727,0.0,0.15,0.85
15,344.71100402087086,320.5931225776948,0.0,0.15,0.85
16,344.71100402087086,321.9819838639565,0.0,0.15,0.85
17,344.71100402087086,323.8697481324048,0.0,0.15,0.85
18,344.71100402087086,324.13875346811386,0.0,0.15,0.85
19,344.71100402087086,319.7768492272901,0.0,0.15,0.85
20,344.71100402087086,332.3986886703699,0.0,0.15,0.85
21,344.71100402087086,318.50964603562574,0.0,0.15,0.85
22,344.71100402087086,326.6465578328984,0.0,0.15,0.85
23,344.71100402087086,328.1145117195289,0.0,0.15,0.85
24,344.71100402087086,331.773045623701,0.0,0.15,0.85
25,344.71100402087086,314.80140465739106,0.0,0.15,0.85
26,344.71100402087086,312.9138973082359,0.0,0.15,0.85
27,344.71100402087086,320.8776511028292,0.0,0.15,0.85
28,344.71100402087086,320.05559077734586,0.0,0.15,0.85
29,344.71100402087086,320.17101483851326,0.0,0.15,0.85
30,344.71100402087086,328.7390840738077,0.0,0.15,0.85
31,344.71100402087086,333.2953922432624,0.0,0.15,0.85
32,344.71100402087086,329.53470315413296,0.0,0.15,0.85
33,344.71100402087086,322.1870635128348,0.0,0.15,0.85
34,344.71100402087086,324.2050466506159,0.0,0.15,0.85
35,344.71100402087086,326.3355086313078,0.0,0.15,0.85
36,344.71100402087086,323.73044690121725,0.0,0.15,0.85
37,344.71100402087086,329.1844706261958,0.0,0.15,0.85
38,344.71100402087086,322.7646522648253,0.0,0.15,0.85
39,344.71100402087086,323.4825342747537,0.0,0.15,0.85
40,344.71100402087086,316.5859811822081,0.0,0.15,0.85
41,344.71100402087086,317.9514117920963,0.0,0.15,0.85
42,344.71100402087086,325.69563915526135,0.0,0.15,0.85
43,344.71100402087086,311.30473442896186,0.0,0.15,0.85
44,344.71100402087086,321.7136378774635,0.0,0.15,0.85
45,344.71100402087086,322.3617421599701,0.0,0.15,0.85
46,344.71100402087086,321.3914092168376,0.0,0.15,0.85
47,344.71100402087086,330.35002225664806,0.0,0.15,0.85
48,344.71100402087086,325.31718641921265,0.0,0.15,0.85
