iteration,best_fitness,avg_fitness,diversity,pheromone_avg,exploitation_rate
0,159.0715831223067,122.5932101118016,0.8769107043989012,1.8105832291703978,0.7
1,172.2160108751626,124.98488203191611,0.858606937835892,1.6416291128985763,0.7016
2,172.66312936221976,118.20329854928139,0.8770592241776337,1.488636609161749,0.7031999999999999
3,172.66312936221976,121.98744999881362,0.8313713736215708,1.3503975744423007,0.7048
4,172.66312936221976,120.1606247478308,0.8127989979976541,1.2258440159762274,0.7063999999999999
5,172.66312936221976,121.65788814430373,0.8122628726287298,1.1139311782711152,0.708
6,172.66312936221976,120.37249172012159,0.900796356657879,1.0148021609568416,0.7096
7,172.66312936221976,122.8822432754041,0.8128000907505198,0.923889640614391,0.7111999999999999
8,172.66312936221976,123.5941772557095,0.8011110694824322,0.8420444738870289,0.7128
9,172.66312936221976,124.8170126440262,0.7314446400992426,0.7675496339821728,0.7143999999999999
10,172.66312936221976,123.18570879958854,0.7861722532355808,0.7008272221997766,0.716
11,172.66312936221976,124.27867785115748,0.7782960028140957,0.6416028313123491,0.7176
12,172.66312936221976,124.538826364838,0.8038357139261882,0.5874167746245788,0.7192
13,172.66312936221976,126.93362262091367,0.7854061294069136,0.5387346646211725,0.7208
14,172.66312936221976,125.62145273541664,0.7585164995275178,0.4951793090714052,0.7223999999999999
15,172.76354659330045,127.840781828561,0.7310532737362007,0.45530893843017634,0.724
16,172.76354659330045,126.78352203481701,0.7514931166976675,0.41944862915325165,0.7255999999999999
17,172.76354659330045,125.32844847931358,0.7380604781470266,0.38705480422810956,0.7272
18,172.76354659330045,126.21561514748342,0.7197908991378619,0.3573681631922547,0.7288
19,172.76354659330045,125.23648432089782,0.8011510330157081,0.3315354644820642,0.7303999999999999
20,172.76354659330045,124.42262627073276,0.7652028981887323,0.30884469215388227,0.732
21,172.76354659330045,128.0318091664884,0.739808272489224,0.2875013436961247,0.7335999999999999
22,178.31767564904206,129.9440015268111,0.7552979118675421,0.26793648248079144,0.7352
23,178.31767564904206,125.95082180596857,0.7440316960773232,0.250553630364142,0.7368
24,178.31767564904206,126.54233005339569,0.7368966963479122,0.23525962796246597,0.7384
25,178.31767564904206,125.57248703166988,0.7760565879468228,0.22116712629154547,0.74
26,178.31767564904206,127.64862741678328,0.7450830284032479,0.20801000768610886,0.7415999999999999
27,178.31767564904206,128.35191677879172,0.781838915739395,0.1970256057655065,0.7432
28,178.31767564904206,127.60128165532971,0.7389523205907913,0.18614674031587933,0.7448
29,178.31767564904206,125.94113834801335,0.7469330069644765,0.17696745378601036,0.7464
30,178.31767564904206,128.08353120282382,0.7218730616645596,0.1683794305306668,0.748
31,178.31767564904206,127.32669230378994,0.75888647442541,0.1609554804592998,0.7495999999999999
32,178.31767564904206,128.93373048004668,0.7560787239976794,0.15399394046899073,0.7512
