iteration,best_fitness,avg_fitness,diversity
0,271.2876574149509,174.22849592525242,0.6373443414651455
1,271.2876574149509,170.3767912416322,0.678659547015254
2,271.2876574149509,174.81458490924746,0.7070211349674443
3,271.2876574149509,174.30892261105433,0.6688647517036785
4,271.2876574149509,178.5522153081037,0.6581554123231874
5,271.2876574149509,177.51967136692002,0.6584333516346913
6,271.2876574149509,173.92784331002102,0.6766048254504681
7,271.2876574149509,179.02796858491098,0.6642777535663498
8,271.2876574149509,177.66996094758733,0.6657413287681762
9,282.5007708064671,182.36324064157128,0.6482927179705683
10,282.5007708064671,170.97056144436576,0.6956808282445852
11,282.5007708064671,172.00803652882792,0.7191679692417873
12,282.5007708064671,174.81726032147563,0.6682317250236669
13,282.5007708064671,177.2903990509463,0.6553578213980844
14,282.5007708064671,172.78073934961566,0.710149338605718
15,282.5007708064671,176.50689646128183,0.6732053469771534
16,282.5007708064671,175.32300420160269,0.7037232064480446
17,282.5007708064671,173.95178388971397,0.6795314327730408
18,282.71750709422656,172.50698299762158,0.6995766629884308
19,282.71750709422656,169.19036435370214,0.6970585012799706
20,282.71750709422656,172.89918236749713,0.6922208260295537
21,282.71750709422656,173.7725227799728,0.6830746678129156
22,282.71750709422656,177.64392946202284,0.6570073863496723
23,282.71750709422656,174.12773273547037,0.6769019379824688
24,282.71750709422656,170.03705745322927,0.703790574575808
25,299.5307445943729,178.57201251216313,0.6574303123146386
26,299.5307445943729,177.53852476671318,0.6838010912776077
27,299.5307445943729,177.32797025646366,0.6535741202839479
28,299.5307445943729,175.02578449697938,0.6503405757801686
29,299.5307445943729,178.34211214433822,0.6671657132328136
30,299.5307445943729,181.11516413782132,0.6461020207731619
31,299.5307445943729,174.2948268789427,0.6648960164866161
32,299.5307445943729,168.08103331226366,0.7187164240184419
33,299.5307445943729,171.48880603725192,0.6750157051499258
34,299.5307445943729,178.37035631914483,0.6448694358090251
35,299.5307445943729,175.70506490296523,0.6616903926299909
36,299.5307445943729,174.77199055803985,0.6482640692640713
37,299.5307445943729,183.09423530001843,0.606798152878686
38,299.5307445943729,178.48380945874143,0.6520922430788212
39,299.5307445943729,171.92803375625257,0.6800359459084233
40,299.5307445943729,175.5368833488879,0.6620110808902767
41,299.5307445943729,176.33648766608243,0.6680811418261077
42,299.5307445943729,171.2608209940003,0.6773732628296476
43,299.5307445943729,174.46504735232264,0.6679865610402576
44,299.5307445943729,174.24116234256255,0.6571769532977537
45,299.5307445943729,172.85329791692865,0.6939123856506412
46,299.5307445943729,177.29515702222977,0.6746095311598538
47,299.5307445943729,176.77319265677528,0.6475734720164232
48,299.5307445943729,178.15238310986,0.6709731898725156
49,299.5307445943729,168.22287268071105,0.7030265352345858
50,299.5307445943729,172.38448892080714,0.6809188380597727
51,299.5307445943729,169.10017197529336,0.725674817352672
52,299.5307445943729,175.2851097418188,0.6798389371006784
53,299.5307445943729,169.5525954395075,0.6956675608756114
54,299.5307445943729,173.47153630805337,0.6850998765092704
55,299.5307445943729,180.46176679035264,0.6389092617548902
56,299.5307445943729,172.85723198533765,0.6974674579708154
57,299.5307445943729,174.39097044552557,0.6767591473900189
58,299.5307445943729,180.23551050983767,0.6293424214363775
59,299.5307445943729,170.53324886412025,0.7034359212748469
60,299.5307445943729,174.0089891831362,0.6925833681605523
61,299.5307445943729,172.86163004787497,0.7140235871510964
62,299.5307445943729,172.85279029138192,0.7028519131874877
63,299.5307445943729,165.6628884543549,0.7321369309288847
64,299.5307445943729,169.57563776146523,0.686346455682024
65,299.5307445943729,176.5672162831545,0.6607556331314736
66,299.5307445943729,178.23807651143258,0.6317878547006085
67,299.5307445943729,179.09961802740042,0.6506063615728132
68,299.5307445943729,177.0746896513084,0.6714821459922081
69,299.5307445943729,173.4686752134326,0.6759583568308429
70,299.5307445943729,173.10983319392713,0.6949518984619738
71,299.5307445943729,173.66673413117368,0.700758462765182
72,299.5307445943729,172.29289883707975,0.7006879583255441
73,299.5307445943729,172.40024196321454,0.6817561104071147
74,299.5307445943729,173.78481722806532,0.7044359994964116
75,299.5307445943729,170.65391388051086,0.7025914366518315
76,299.5307445943729,173.40877719835396,0.6829230359498749
77,299.5307445943729,178.1646240990922,0.6320593952406005
78,299.5307445943729,173.32392494887608,0.6608950984387182
79,299.5307445943729,180.62644312280204,0.6643542746093029
80,299.5307445943729,178.67198663034355,0.649609556737076
81,299.5307445943729,172.17841875669075,0.704918368482122
82,299.5307445943729,175.61945178308295,0.6742118090708669
83,299.5307445943729,176.03927303785983,0.6648010977339855
84,299.5307445943729,175.73916426293428,0.65820382600249
85,299.5307445943729,182.36678307940485,0.636451858854536
86,299.5307445943729,177.95143981685024,0.6499524462611702
87,299.5307445943729,172.75774255003753,0.7152414788790725
88,299.5307445943729,172.4416441950612,0.6863477119450299
89,299.5307445943729,175.74569614876577,0.672893461000851
90,299.5307445943729,175.01836575045607,0.681086000750427
91,299.5307445943729,179.48763168735067,0.6391742878051595
92,299.5307445943729,176.98622244549637,0.6631368388012715
93,299.5307445943729,176.5538908584874,0.6822822794903273
94,299.5307445943729,169.0568555799021,0.6910928852405396
95,299.5307445943729,178.09355642597222,0.6737460237997072
96,299.5307445943729,169.59036366581927,0.7052238286197996
97,299.5307445943729,176.13093541041033,0.6884416567772254
98,299.5307445943729,169.27834771887223,0.6910946294570438
99,299.5307445943729,175.1780925243067,0.7018074155523705
100,299.5307445943729,174.78369947003185,0.6931036132646983
101,299.5307445943729,178.50086803833776,0.6716018041118691
102,299.5307445943729,174.9667772556298,0.6865669687011912
103,299.5307445943729,175.80856382714543,0.6768369428235215
104,299.5307445943729,175.58079329583475,0.6794532588962083
105,299.5307445943729,170.4487656163144,0.6887483786409909
106,299.5307445943729,167.52955794440996,0.7051355418133999
107,299.5307445943729,177.9860268586268,0.6521913093121089
108,299.5307445943729,173.405237243756,0.6688816249621636
109,299.5307445943729,173.49103376270602,0.6984183065256796
110,299.5307445943729,170.21409689065442,0.718101250973729
111,299.5307445943729,169.99919059729123,0.7062400813206222
112,299.5307445943729,175.5108963973631,0.6535894609988508
113,299.5307445943729,170.24990892504388,0.7121047304671434
114,299.5307445943729,175.6771492920498,0.6563044661031198
115,299.5307445943729,173.50468461981816,0.7092192450850121
116,299.5307445943729,177.28460385495015,0.6751257621324619
117,299.5307445943729,176.07988044813362,0.6721650027824522
118,299.5307445943729,173.50573724875494,0.697769429675477
119,299.5307445943729,171.69205340853924,0.7014394270904403
120,299.5307445943729,178.28231835324823,0.6464090758855829
