iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate,generations_without_improvement
0,428.73589994652343,309.51718990336843,0.534509864881428,0.15,0.85,0
1,430.4861648027925,367.58444470916396,0.4849384951157043,0.15,0.85,0
2,430.4861648027925,405.4481847771775,0.40017685952619425,0.15,0.85,1
3,430.4861648027925,419.6512489266394,0.06737552115628237,0.15,0.85,2
4,430.4861648027925,423.1175722162243,0.0,0.15,0.85,3
5,430.4861648027925,419.87440511167165,0.0,0.15,0.85,4
6,430.4861648027925,420.1917789405728,0.0,0.15,0.85,5
7,430.4861648027925,419.6412875282912,0.0,0.15,0.85,6
8,430.4861648027925,419.870415362155,0.0,0.15,0.85,7
9,430.4861648027925,423.8272148479356,0.0,0.15,0.85,8
10,430.4861648027925,417.248879002352,0.0,0.15,0.85,9
11,430.4861648027925,427.23324311897665,0.0,0.15,0.85,10
12,430.4861648027925,420.737791508987,0.0,0.15,0.85,11
13,430.4861648027925,417.49041353530953,0.0,0.15,0.85,12
14,430.4861648027925,418.2789643018226,0.0,0.15,0.85,13
15,430.4861648027925,421.1321385484197,0.0,0.15,0.85,14
16,430.83562955622386,421.3346241159338,0.0,0.15,0.85,0
17,430.83562955622386,424.95255057591515,0.0,0.15,0.85,1
18,430.83562955622386,418.7050619488401,0.0,0.15,0.85,2
19,430.83562955622386,423.3866843282196,0.0,0.15,0.85,3
20,430.83562955622386,421.1196596342244,0.0,0.15,0.85,4
21,430.83562955622386,423.6860341458937,0.0,0.15,0.85,5
22,430.83562955622386,418.70528509037825,0.0,0.15,0.85,6
23,430.83562955622386,418.4681757228353,0.0,0.15,0.85,7
24,430.83562955622386,422.25613140962537,0.0,0.15,0.85,8
25,430.83562955622386,416.88641873107855,0.0,0.15,0.85,9
26,430.83562955622386,410.87406236210944,0.0,0.15,0.85,10
27,430.83562955622386,418.72909686288926,0.0,0.15,0.85,11
28,430.83562955622386,422.72084854350214,0.0,0.15,0.85,12
29,431.10767157803,419.4854444119023,0.0,0.15,0.85,0
30,431.10767157803,417.1998039961586,0.0,0.15,0.85,1
31,431.10767157803,420.39202223454237,0.0,0.15,0.85,2
32,431.10767157803,421.3481013433257,0.0,0.15,0.85,3
33,431.10767157803,421.82363194249143,0.0,0.15,0.85,4
34,431.10767157803,414.80393634777914,0.0,0.15,0.85,5
35,431.10767157803,419.76518396979196,0.0,0.15,0.85,6
36,431.10767157803,423.0110681453699,0.0,0.15,0.85,7
37,431.10767157803,417.26661142361326,0.0,0.15,0.85,8
38,431.10767157803,420.5989385069175,0.0,0.15,0.85,9
39,431.10767157803,422.0378967382666,0.0,0.15,0.85,10
40,431.10767157803,417.6872668425739,0.0,0.15,0.85,11
41,431.10767157803,425.4069820429688,0.0,0.15,0.85,12
42,431.10767157803,426.6852069655028,0.0,0.15,0.85,13
43,431.10767157803,419.7082654195872,0.0,0.15,0.85,14
44,431.10767157803,421.05938765801216,0.0,0.15,0.85,15
45,431.10767157803,417.7168309384594,0.0,0.15,0.85,16
46,431.10767157803,417.78426654518717,0.0,0.15,0.85,17
47,431.10767157803,424.3335832989075,0.0,0.15,0.85,18
48,431.10767157803,423.8771326533914,0.0,0.15,0.85,19
49,431.10767157803,419.6169186625917,0.0,0.15,0.85,20
50,431.10767157803,423.5979570363015,0.0,0.15,0.85,21
51,431.10767157803,425.4649047931217,0.0,0.15,0.85,22
52,431.10767157803,418.64541671229665,0.0,0.15,0.85,23
53,431.10767157803,423.34794351828054,0.0,0.15,0.85,24
54,431.10767157803,424.45338031925246,0.0,0.15,0.85,25
55,431.10767157803,423.70972898351675,0.0,0.15,0.85,26
56,431.10767157803,424.26917940425056,0.0,0.15,0.85,27
57,431.10767157803,425.4126156737259,0.0,0.15,0.85,28
58,431.10767157803,422.03366642701985,0.0,0.15,0.85,29
59,431.10767157803,418.780379782268,0.0,0.15,0.85,30
60,431.10767157803,420.79219531471693,0.0,0.15,0.85,31
61,431.10767157803,425.75394849222374,0.0,0.15,0.85,32
62,431.10767157803,419.47296614116675,0.0,0.15,0.85,33
63,431.10767157803,424.2759408543348,0.0,0.15,0.85,34
64,431.10767157803,422.1032356228466,0.0,0.15,0.85,35
65,431.10767157803,423.4879749499891,0.0,0.15,0.85,36
66,431.10767157803,420.9403242155136,0.0,0.15,0.85,37
67,431.10767157803,423.1226880261376,0.0,0.15,0.85,38
68,431.10767157803,423.02248992820273,0.0,0.15,0.85,39
69,431.10767157803,417.5621083433524,0.0,0.15,0.85,40
70,431.10767157803,421.8266054821778,0.0,0.15,0.85,41
71,431.10767157803,421.9594509570653,0.0,0.15,0.85,42
72,431.10767157803,422.24195696340183,0.0,0.15,0.85,43
73,431.10767157803,425.3609451676915,0.0,0.15,0.85,44
74,431.10767157803,420.5408019429711,0.0,0.15,0.85,45
75,431.10767157803,422.525827430135,0.0,0.15,0.85,46
76,431.10767157803,418.45996778190965,0.0,0.15,0.85,47
77,431.10767157803,421.4868296579587,0.0,0.15,0.85,48
78,431.10767157803,419.091657011397,0.0,0.15,0.85,49
79,431.10767157803,423.4785768536545,0.0,0.15,0.85,50
