iteration,best_fitness,avg_fitness,diversity,pheromone_avg,pheromone_max,pheromone_min
0,785.6035945429286,456.4651615637038,1.1738132392260705,1.6804542802193065,1.8,0.14357959753837063
1,785.6035945429286,394.5850162644468,1.233459314875575,1.427393709837682,1.6262500000000002,0.02
2,785.6035945429286,343.3433798288423,1.2967363268860554,1.2201703570783016,1.4687500000000002,0.02
3,785.6035945429286,334.67103035221294,1.3135304467779896,1.047302595798234,1.3290178571428573,0.02
4,785.6035945429286,312.44707764532154,1.3379971913029918,0.9016218882738689,1.1996571291208793,0.02
5,785.6035945429286,302.4999270697465,1.3425768599065557,0.7777519345287783,1.0796914162087914,0.02
6,785.6035945429286,279.5082429361934,1.3550934081644472,0.6718551176695389,0.9789740564102566,0.02
7,785.6035945429286,277.140452227752,1.35754616345669,0.5819999213218382,0.8866114732142858,0.02
8,785.6035945429286,271.15392605756017,1.355168555536358,0.504638809188025,0.800111842835165,0.02
9,785.6035945429286,267.63457661102734,1.3617500295298024,0.4381649406763407,0.7268602856493356,0.02
10,785.6035945429286,272.63434504839984,1.3819751645791083,0.3807729216901081,0.6618665647767097,0.02
11,785.6035945429286,268.01548568524527,1.3682842461014608,0.331326060335561,0.6047708173899478,0.02
12,785.6035945429286,266.3076043858881,1.3682305980440015,0.2886451412389668,0.5449861179092128,0.02
13,785.6035945429286,260.39058375230417,1.3673314077607432,0.2516353522092575,0.4976303632611487,0.02
14,785.6035945429286,263.05382666413874,1.3625266397617732,0.21958733115786716,0.4555596346273415,0.02
15,785.6035945429286,263.75248998874184,1.365080287950317,0.19198599159850516,0.41211181161122307,0.02
16,785.6035945429286,266.1554762494918,1.3705211326033186,0.1680435201086918,0.37090063045010074,0.02
17,785.6035945429286,280.5990600679486,1.3480369599156339,0.14739545830498915,0.3409534245479478,0.02
18,785.6035945429286,283.1284555968264,1.3290543506372388,0.12941363339488549,0.3135080608943833,0.02
19,785.6035945429286,298.10675462040416,1.3233419702918077,0.11386813428301717,0.2888239214716117,0.02
