iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate,generations_without_improvement
0,1128.1294395361592,867.4844899513121,0.685272333550116,0.15,0.85,0
1,1133.1994395361594,933.5430226260802,0.6225084982389218,0.15,0.85,0
2,1133.1994395361594,1001.2998072043218,0.5255085267484052,0.15,0.85,1
3,1133.1994395361594,1050.2069532735243,0.38264071437915637,0.15,0.85,2
4,1133.1994395361594,1093.4495672670664,0.10601972986471678,0.15,0.85,3
5,1133.1994395361594,1074.9462337213727,0.0,0.15,0.85,4
6,1133.1994395361594,1074.729678010007,0.0,0.15,0.85,5
7,1133.1994395361594,1061.5256665276268,0.0,0.15,0.85,6
8,1133.1994395361594,1075.7338329433867,0.0,0.15,0.85,7
9,1133.1994395361594,1075.9761575484906,0.0,0.15,0.85,8
10,1133.1994395361594,1097.3317298445938,0.0,0.15,0.85,9
11,1133.1994395361594,1098.6251338274453,0.0,0.15,0.85,10
12,1133.1994395361594,1102.4860565594909,0.0,0.15,0.85,11
13,1133.1994395361594,1098.0107200011319,0.0,0.15,0.85,12
14,1133.1994395361594,1075.3208770260558,0.0,0.15,0.85,13
15,1133.1994395361594,1052.725549394352,0.0,0.15,0.85,14
16,1133.1994395361594,1071.6738145429479,0.0,0.15,0.85,15
17,1133.1994395361594,1098.110851525948,0.0,0.15,0.85,16
18,1133.1994395361594,1066.436311175481,0.0,0.15,0.85,17
19,1133.1994395361594,1085.1268382594226,0.0,0.15,0.85,18
20,1133.1994395361594,1088.9672199549834,0.0,0.15,0.85,19
21,1133.1994395361594,1071.2878036513514,0.0,0.15,0.85,20
22,1133.1994395361594,1062.6043889922041,0.0,0.15,0.85,21
23,1133.1994395361594,1093.3848455847012,0.0,0.15,0.85,22
24,1133.1994395361594,1083.6485179279089,0.0,0.15,0.85,23
25,1133.1994395361594,1088.985175466132,0.0,0.15,0.85,24
26,1133.1994395361594,1080.0910192668994,0.0,0.15,0.85,25
27,1133.1994395361594,1083.9809238700548,0.0,0.15,0.85,26
28,1133.1994395361594,1088.333622102226,0.0,0.15,0.85,27
29,1133.1994395361594,1111.000827869787,0.0,0.15,0.85,28
30,1133.1994395361594,1101.942345199658,0.0,0.15,0.85,29
31,1134.6844081555435,1080.6635357703146,0.0,0.15,0.85,0
32,1134.6844081555435,1094.484178972417,0.0,0.15,0.85,1
33,1134.6844081555435,1054.1048796687626,0.0,0.15,0.85,2
34,1134.6844081555435,1086.902983645945,0.0,0.15,0.85,3
35,1134.6844081555435,1085.052886199442,0.0,0.15,0.85,4
36,1134.6844081555435,1099.3482014095928,0.0,0.15,0.85,5
37,1134.6844081555435,1103.6819771054195,0.0,0.15,0.85,6
38,1134.6844081555435,1072.3516179298697,0.0,0.15,0.85,7
39,1134.6844081555435,1099.54438849861,0.0,0.15,0.85,8
40,1135.7344395361592,1072.545134757938,0.0,0.15,0.85,0
41,1135.7344395361592,1072.8331376366073,0.0,0.15,0.85,1
42,1135.7344395361592,1068.0034122210316,0.0,0.15,0.85,2
43,1135.7344395361592,1072.5364786462085,0.0,0.15,0.85,3
44,1135.7344395361592,1077.6069937133823,0.0,0.15,0.85,4
45,1135.7344395361592,1100.8622469681945,0.0,0.15,0.85,5
46,1135.7344395361592,1104.6897258716276,0.0,0.15,0.85,6
47,1135.7344395361592,1091.053860646076,0.0,0.15,0.85,7
48,1135.7344395361592,1105.0135078684325,0.0,0.15,0.85,8
49,1135.7344395361592,1082.251401661013,0.0,0.15,0.85,9
50,1135.7344395361592,1077.3393967991065,0.0,0.15,0.85,10
51,1135.7344395361592,1090.9405372628091,0.0,0.15,0.85,11
52,1135.7344395361592,1113.1317282234677,0.0,0.15,0.85,12
53,1135.7344395361592,1081.9089943111599,0.0,0.15,0.85,13
54,1135.7344395361592,1046.5324993607358,0.0,0.15,0.85,14
55,1135.7344395361592,1104.3471986600339,0.0,0.15,0.85,15
56,1135.7344395361592,1100.3647003479596,0.0,0.15,0.85,16
57,1135.7344395361592,1095.694357287127,0.0,0.15,0.85,17
58,1135.7344395361592,1095.8304372313996,0.0,0.15,0.85,18
59,1135.7344395361592,1104.6126941407367,0.0,0.15,0.85,19
60,1135.7344395361592,1100.432941419423,0.0,0.15,0.85,20
61,1135.7344395361592,1070.3603751293854,0.0,0.15,0.85,21
62,1135.7344395361592,1096.1355225436942,0.0,0.15,0.85,22
63,1135.7344395361592,1113.8019082807118,0.0,0.15,0.85,23
64,1135.7344395361592,1118.048196753636,0.0,0.15,0.85,24
65,1135.7344395361592,1086.3504057652738,0.0,0.15,0.85,25
66,1135.7344395361592,1069.6066419554147,0.0,0.15,0.85,26
67,1135.7344395361592,1104.9451605881,0.0,0.15,0.85,27
68,1135.7344395361592,1091.5712805122525,0.0,0.15,0.85,28
69,1135.7344395361592,1096.2313315802455,0.0,0.15,0.85,29
70,1135.7344395361592,1082.7551765863734,0.0,0.15,0.85,30
71,1135.7344395361592,1091.2535113704948,0.0,0.15,0.85,31
72,1135.7344395361592,1081.410754229202,0.0,0.15,0.85,32
73,1135.7344395361592,1100.1263340806133,0.0,0.15,0.85,33
74,1135.7344395361592,1090.8767428843237,0.0,0.15,0.85,34
75,1135.7344395361592,1086.5803554830973,0.0,0.15,0.85,35
76,1135.7344395361592,1065.4386697747393,0.0,0.15,0.85,36
77,1135.7344395361592,1082.7962523705473,0.0,0.15,0.85,37
78,1135.7344395361592,1064.1542129879856,0.0,0.15,0.85,38
79,1135.7344395361592,1104.3264496705194,0.0,0.15,0.85,39
80,1135.7344395361592,1087.0341014646965,0.0,0.15,0.85,40
81,1135.7344395361592,1069.5811534948355,0.0,0.15,0.85,41
