iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate,generations_without_improvement
0,672.7450169610446,529.0416168327062,0.7970361891746544,0.15,0.85,0
1,680.029744853329,594.8919987785944,0.7395947743258039,0.15,0.85,0
2,680.029744853329,628.797145866206,0.6004990997985988,0.15,0.85,1
3,680.029744853329,657.8584579795216,0.03665509812564768,0.15,0.85,2
4,680.029744853329,669.8993009471494,0.0,0.15,0.85,3
5,680.029744853329,663.0537449565028,0.0,0.15,0.85,4
6,680.029744853329,663.8951262259749,0.0,0.15,0.85,5
7,680.029744853329,664.1549834967038,0.0,0.15,0.85,6
8,680.029744853329,662.5401435007807,0.0,0.15,0.85,7
9,680.029744853329,650.4452426963078,0.0,0.15,0.85,8
10,680.029744853329,660.5263033369105,0.0,0.15,0.85,9
11,680.029744853329,635.0953451260649,0.0,0.15,0.85,10
12,680.029744853329,657.4749243526842,0.0,0.15,0.85,11
13,680.029744853329,649.4855172386209,0.0,0.15,0.85,12
14,680.029744853329,645.8337199402446,0.0,0.15,0.85,13
15,680.029744853329,658.728171175197,0.0,0.15,0.85,14
16,680.029744853329,655.1659309176796,0.0,0.15,0.85,15
17,680.029744853329,659.7361871092185,0.0,0.15,0.85,16
18,680.029744853329,655.601274121266,0.0,0.15,0.85,17
19,680.029744853329,649.9103839306262,0.0,0.15,0.85,18
20,680.029744853329,653.8336195981325,0.0,0.15,0.85,19
21,680.029744853329,647.9336431063791,0.0,0.15,0.85,20
22,680.029744853329,651.0383645882606,0.0,0.15,0.85,21
23,680.029744853329,658.1729767027871,0.0,0.15,0.85,22
24,680.029744853329,654.3704711157669,0.0,0.15,0.85,23
25,680.029744853329,651.4934968587027,0.0,0.15,0.85,24
26,680.029744853329,650.9264293147837,0.0,0.15,0.85,25
27,680.029744853329,651.7042176101397,0.0,0.15,0.85,26
28,680.029744853329,654.2849941635171,0.0,0.15,0.85,27
29,680.029744853329,660.7541468153896,0.0,0.15,0.85,28
30,680.029744853329,648.6889453229861,0.0,0.15,0.85,29
31,680.029744853329,661.1226714033878,0.0,0.15,0.85,30
32,680.029744853329,652.9919823795285,0.0,0.15,0.85,31
33,680.029744853329,640.0817197483533,0.0,0.15,0.85,32
34,680.029744853329,661.3507164183186,0.0,0.15,0.85,33
35,680.029744853329,662.3164579026802,0.0,0.15,0.85,34
36,680.029744853329,657.2846455951317,0.0,0.15,0.85,35
37,680.029744853329,657.8936415636348,0.0,0.15,0.85,36
38,680.029744853329,668.3055148763149,0.0,0.15,0.85,37
39,680.029744853329,654.9120961845214,0.0,0.15,0.85,38
40,680.029744853329,647.7615028624522,0.0,0.15,0.85,39
41,680.029744853329,659.9336935199608,0.0,0.15,0.85,40
42,680.029744853329,643.858599410718,0.0,0.15,0.85,41
43,680.029744853329,658.1821407902545,0.0,0.15,0.85,42
44,680.029744853329,643.2805061133797,0.0,0.15,0.85,43
45,680.029744853329,652.4187087016162,0.0,0.15,0.85,44
46,680.029744853329,645.47537925514,0.0,0.15,0.85,45
47,680.029744853329,663.0119812862526,0.0,0.15,0.85,46
48,680.029744853329,647.1737582729501,0.0,0.15,0.85,47
49,680.029744853329,655.7929900084495,0.0,0.15,0.85,48
50,680.029744853329,663.4593892640927,0.0,0.15,0.85,49
51,680.029744853329,650.0301392786328,0.0,0.15,0.85,50
