iteration,best_fitness,avg_fitness,method
0,605.4220167027478,605.4220167027478,profit_distance
1,660.1894316220904,632.8057241624191,profit
2,488.3111563577888,584.6408682275423,nearest
3,488.3111563577888,560.5584402601039,savings
