iteration,best_fitness,avg_fitness,diversity,pheromone_avg,pheromone_max,pheromone_min
0,635.6602782688988,449.02873125810635,1.0157873123095669,1.7127531764848802,1.8,0.061806308765265286
1,635.6602782688988,364.16741259741946,1.2072497523514865,1.4765094255222024,1.6276923076923078,0.02
2,635.6602782688988,334.0242068348722,1.237425040660342,1.2779251126011701,1.4715897435897436,0.02
3,635.6602782688988,308.3799155536982,1.250995978056592,1.1084529910636904,1.332123076923077,0.02
4,635.6602782688988,290.38531390338744,1.2625261352819557,0.9633459822800624,1.2072441025641025,0.02
5,635.6602782688988,289.24365575649426,1.2915090144019514,0.8386178678911839,1.0865196923076923,0.02
6,635.6602782688988,274.34637624698024,1.3020011242759042,0.7310846374306523,0.9862010564102563,0.02
7,635.6602782688988,271.8351128778246,1.3077325604427912,0.6383972607268713,0.8947238079120878,0.02
8,635.6602782688988,279.1000340588799,1.2937309487600432,0.5578300632810146,0.8129437348131867,0.02
9,635.6602782688988,280.7021185166593,1.3121703797950737,0.4879073176647896,0.7427604724429792,0.02
10,635.6602782688988,289.5393678716072,1.2910346458944488,0.42733906301568864,0.6761767328909889,0.02
11,635.6602782688988,287.460840139779,1.2743753986973165,0.374697383511493,0.6168923929352234,0.02
12,635.6602782688988,282.37447613186595,1.2527281133982184,0.32896008040623737,0.565203153641701,0.02
13,635.6602782688988,292.30660509998205,1.2686281732772824,0.2890215991657904,0.51777374736844,0.02
14,635.6602782688988,288.966959854362,1.275743537845959,0.2541821095478788,0.478496372631596,0.02
15,635.6602782688988,299.8528307457663,1.2339436967912163,0.2237802211131123,0.4377895925112935,0.02
16,635.6602782688988,300.3225561713742,1.2272061386868856,0.19721173938554631,0.40170294095247183,0.02
17,635.6602782688988,304.10295376162895,1.2029763557049469,0.17394627278878202,0.3681993135238913,0.02
18,635.6602782688988,311.36908607040334,1.1958912436760425,0.15360384708723815,0.34047029126241124,0.02
19,635.6602782688988,322.66923119085953,1.191609969110662,0.13579718938879679,0.31411556982847777,0.02
20,635.6602782688988,330.45283594639244,1.177956299736478,0.12017373208127187,0.28895401284563,0.02
21,635.6602782688988,339.4419530941391,1.1638770457678924,0.10651329654919411,0.260058611561067,0.02
22,635.6602782688988,360.14144917612043,1.1659871177825956,0.09450605447199588,0.23405275040496032,0.02
23,635.6602782688988,383.36413590595225,1.1272756642373778,0.08400744435131749,0.2168974753644643,0.02
24,635.6602782688988,405.15649959538393,1.0997308767981118,0.07488917396018852,0.20076328338357344,0.02
25,665.3210459779561,418.6929999211342,1.085761927172931,0.06697634246861936,0.1806869550452161,0.02
26,665.3210459779561,429.5411719156655,1.0669552577477315,0.06013134945591856,0.1678814174354313,0.02
27,665.3210459779561,433.19375080604465,1.046086932123771,0.05423320382886038,0.15775994235855484,0.02
