iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate,tournament_size,generations_without_improvement,Instance_Size,Instance_File,Timestamp
20,725.4832606819374,645.7355989605064,1.0,0.3,0.85,10,6,20.0,Set_64_234/p6.4.n.txt,2024-11-19 12:50:20
30,726.0037415979984,653.6986211835118,1.0,0.3,0.85,10,1,20.0,Set_64_234/p6.4.n.txt,2024-11-19 12:50:20
40,726.231200098737,661.1075936113059,1.0,0.3,0.85,10,7,20.0,Set_64_234/p6.4.n.txt,2024-11-19 12:50:20
50,726.231200098737,669.1544438050648,1.0,0.3,0.85,10,17,20.0,Set_64_234/p6.4.n.txt,2024-11-19 12:50:20
60,726.231200098737,658.9423219898572,1.0,0.3,0.85,10,27,20.0,Set_64_234/p6.4.n.txt,2024-11-19 12:50:20
70,726.231200098737,658.0055767204336,1.0,0.3,0.85,10,37,20.0,Set_64_234/p6.4.n.txt,2024-11-19 12:50:20
80,726.4586585994755,651.7140074154798,1.0,0.3,0.85,10,3,20.0,Set_64_234/p6.4.n.txt,2024-11-19 12:50:20
90,726.6544009031667,671.934763936774,1.0,0.3,0.85,10,5,20.0,Set_64_234/p6.4.n.txt,2024-11-19 12:50:20
100,726.6544009031667,665.073922157668,1.0,0.3,0.85,10,15,20.0,Set_64_234/p6.4.n.txt,2024-11-19 12:50:20
110,726.6544009031667,670.2864560980022,1.0,0.3,0.85,10,25,20.0,Set_64_234/p6.4.n.txt,2024-11-19 12:50:20
120,726.6544009031667,656.1109167958456,1.0,0.3,0.85,10,35,20.0,Set_64_234/p6.4.n.txt,2024-11-19 12:50:20
130,726.6544009031667,671.7230073062776,1.0,0.3,0.85,10,45,20.0,Set_64_234/p6.4.n.txt,2024-11-19 12:50:20
