iteration,best_fitness,avg_fitness,diversity,pheromone_avg,pheromone_max,pheromone_min
0,1127.4220284612568,791.4949202396382,0.7748309802006648,1.687966411405387,1.8,0.0450567990898784
1,1127.4220284612568,636.0920035262536,0.9420048779973607,1.440767016581013,1.6243478260869566,0.02
2,1127.4220284612568,571.9746988720628,1.0134101524451675,1.2358820745335377,1.4649791666666667,0.02
3,1127.4220284612568,526.9153248608395,1.0523444801812376,1.0639854938371531,1.3247312500000001,0.02
4,1127.4220284612568,483.3140582716435,1.113562744499905,0.9181569006252556,1.1989247916666668,0.02
5,1127.4220284612568,470.3432412692396,1.1191314954754379,0.7939439682351894,1.0831989791666667,0.02
6,1127.4220284612568,442.5549594194827,1.145531409438162,0.6878088534230259,0.9807614341911766,0.02
7,1127.4220284612568,442.7348846164951,1.1520268984829782,0.5967863462523542,0.8889352907720589,0.02
8,1127.4220284612568,444.48482083055006,1.1412158918227786,0.5185079156040916,0.8053049195895899,0.02
9,1127.4220284612568,455.68714568232184,1.1365662011577444,0.45096052747964877,0.7295363323925357,0.02
10,1127.4220284612568,458.5952694213886,1.13536380346076,0.39276416132043035,0.661845857048019,0.02
11,1127.4220284612568,454.5624071066936,1.1338995869676223,0.34250813242376416,0.6019112713432171,0.02
12,1127.4220284612568,461.11832719678,1.1154490914433075,0.29902096610542483,0.5479701442088953,0.02
13,1127.4220284612568,463.54137596174985,1.1128423417420792,0.26132729046135783,0.49872868534356135,0.02
14,1127.4220284612568,474.4815949012652,1.0929815736447872,0.22875815747245348,0.4488558168092052,0.02
15,1127.4220284612568,474.94255810764577,1.086218353687498,0.2004083259083818,0.4092333930230216,0.02
16,1127.4220284612568,496.53039362447174,1.0512963953361008,0.17585122613001541,0.36831005372071945,0.02
17,1127.4220284612568,500.53799623486935,1.0467714736728981,0.15448414215519113,0.33674220624338436,0.02
18,1127.4220284612568,514.8578513307822,1.0389478056706456,0.13587025622125304,0.30761344016450043,0.02
19,1127.4220284612568,514.8084915567277,1.0301498820312869,0.11964022352727413,0.28101876281471705,0.02
20,1127.4220284612568,557.7032350513655,1.0034655064820754,0.10550132056174719,0.25691688653324535,0.02
21,1127.4220284612568,573.6575610382791,0.9649380970105952,0.09318382366268349,0.23557302396687735,0.02
22,1127.4220284612568,616.7499149846446,0.9271748059863679,0.08252514060252193,0.2160157215701896,0.02
23,1127.4220284612568,662.9696289292921,0.8939131314321643,0.07333848980320276,0.19826030325932448,0.02
24,1127.4220284612568,707.7155655945929,0.8601273225974361,0.06547052197001187,0.18260093960005871,0.02
25,1127.4220284612568,728.2193141400472,0.8276746469860035,0.05878430409238735,0.16910275040195763,0.02
26,1127.4220284612568,738.8799464089478,0.8148228434013766,0.053137241308128885,0.15635914202842854,0.02
27,1127.4220284612568,741.690127019667,0.8156541319838712,0.04840740802040991,0.14456938167173955,0.02
28,1127.4220284612568,756.9623301773624,0.7934971580647563,0.04442283525321805,0.13381614720826931,0.02
29,1127.4220284612568,754.446873340394,0.8063545542550599,0.040951238532291295,0.12443453248744239,0.02
30,1206.3319066372733,770.0967932046958,0.7804355662646121,0.037868681956565536,0.11502138226900119,0.02
31,1206.3319066372733,778.476622065722,0.7669104858267668,0.035127045692222865,0.10351924404210107,0.02
32,1206.3319066372733,782.1727127483218,0.7644569968477604,0.03270054022057837,0.09904967257906744,0.02
33,1206.3319066372733,779.3934024930228,0.7807587345532137,0.03054570798522879,0.09259298118322967,0.02
34,1206.3319066372733,781.987195347964,0.7718813397344197,0.028637274521631857,0.08717983691106056,0.02
35,1223.4451201903398,791.3377101770354,0.7570803647481945,0.02696269488711606,0.08149215625025753,0.02
36,1223.4451201903398,792.4207180297099,0.7658347619384628,0.025483371211164497,0.07628411709582002,0.02
37,1223.4451201903398,792.3668311067626,0.7732862134438484,0.024192129496045815,0.07282237205290468,0.02
38,1223.4451201903398,799.3557396142581,0.7543566159085122,0.02307059416172522,0.06866513484761422,0.02
39,1223.4451201903398,816.497165968843,0.7368658783238184,0.022110799008908503,0.061798621362852794,0.02
40,1267.077059338902,825.8905446828564,0.7365531582600263,0.02131466984769861,0.05919018779799609,0.02
41,1267.077059338902,812.2911302305528,0.733161882553924,0.020681407627455208,0.056301472048499515,0.02
42,1267.077059338902,805.663278391218,0.7362986521895761,0.02023101963563962,0.05451747868980341,0.02
43,1267.077059338902,817.7932177764316,0.734464989806257,0.020016339455502977,0.05291188466697692,0.02
44,1267.077059338902,815.1794080933685,0.7312691914172087,0.02001343292755024,0.05106897206234819,0.02
45,1292.5480178120813,813.908363459304,0.7368666387112747,0.020012040258237593,0.04873985263389115,0.02
46,1292.5480178120813,829.8473863666658,0.7266401820429558,0.020008644327037247,0.04672301022764489,0.02
47,1292.5480178120813,821.9006010677937,0.7325639721399436,0.0200093063048253,0.045622137776308976,0.02
48,1292.5480178120813,830.9317767757265,0.7258641113470503,0.02000852261646328,0.04505992399867807,0.02
49,1292.5480178120813,822.0469762850006,0.7294286308663246,0.020006564602735033,0.04055393159881027,0.02
50,1292.5480178120813,828.4217009013258,0.7316483972518665,0.020006965442078393,0.03962353843892925,0.02
51,1292.5480178120813,827.6600513635999,0.7146494188206832,0.020006666560845324,0.03888699104664923,0.02
52,1292.5480178120813,830.4221509962472,0.7294653688037936,0.02000625701226272,0.034998291941984304,0.02
53,1292.5480178120813,822.1678790624993,0.7241546097771181,0.02000650361215798,0.03472426919939878,0.02
54,1292.5480178120813,823.0858954740991,0.7269886578323206,0.02000604990140853,0.03470011814152787,0.02
55,1292.5480178120813,833.72810127313,0.717216043837576,0.020006563495810693,0.03539677299404175,0.02
56,1306.774736564349,836.971178197693,0.7155723403874595,0.020005658737755585,0.03498209569463758,0.02
57,1306.774736564349,822.0072193125188,0.7293743762370207,0.020005654814785053,0.031483886125173825,0.02
58,1306.774736564349,840.4349412454756,0.7147354201624894,0.020007587183682184,0.028335497512656443,0.02
59,1306.774736564349,844.4622711664024,0.7169250970375106,0.020005551851948623,0.028279725539168576,0.02
60,1306.774736564349,841.4782716128656,0.7153175092836607,0.020005088374057945,0.028677559436864623,0.02
61,1306.774736564349,841.2365572210659,0.699996410481624,0.020005053060629,0.029513507196881866,0.02
62,1306.774736564349,831.0668618718844,0.7224916753955287,0.020004921799485216,0.029592459507496713,0.02
63,1306.774736564349,830.6276638300192,0.7115802997887795,0.020005942741966855,0.026633213556747044,0.02
64,1306.774736564349,838.5626624133893,0.707418928383344,0.02000380250258336,0.027000195231375368,0.02
65,1306.774736564349,843.0789396963814,0.700679932687756,0.02000471552206072,0.02715731856538069,0.02
66,1306.774736564349,835.2209304074178,0.7116989029971543,0.02000479880337186,0.028608253375509287,0.02
67,1306.774736564349,828.1391351952966,0.7167102446367482,0.02000767277581671,0.03183292193000645,0.02
68,1306.774736564349,836.957233800735,0.7047913687340092,0.02000610324207401,0.03357972277094026,0.02
69,1326.3005347497765,841.9702275138283,0.7079466356039795,0.020005845415423343,0.03536094617348104,0.02
70,1326.3005347497765,846.0927457620027,0.7121967567303829,0.020004878526736703,0.03446856895334124,0.02
71,1326.3005347497765,841.8867744331811,0.7094811624087647,0.020006120133554822,0.0338437381557946,0.02
72,1326.3005347497765,838.9534372670059,0.7107016104840794,0.020006616248774964,0.034124320289568265,0.02
73,1326.3005347497765,839.6262637561309,0.6962701038351091,0.02000618520908814,0.035255672246133025,0.02
74,1326.3005347497765,857.1784929230932,0.6947899221348312,0.02000650274830061,0.030904738622323864,0.02
75,1326.3005347497765,842.7337737369621,0.7039054116275286,0.02000490542623551,0.03114759809342481,0.02
76,1326.3005347497765,851.1155969085082,0.7002732444372173,0.020005972740563212,0.0314811141461513,0.02
77,1326.3005347497765,846.9750748394158,0.6918256714919303,0.020005114129638343,0.03178127859360513,0.02
78,1326.3005347497765,849.106766403233,0.6916712693855547,0.020004336092616728,0.03220451761816606,0.02
79,1326.3005347497765,848.4746545115198,0.6857102242987999,0.020007142401739945,0.033623839975441154,0.02
80,1326.3005347497765,865.1699128792985,0.6873491085762837,0.020005480758837912,0.029811409237595284,0.02
81,1326.3005347497765,845.4415172948029,0.6946998281443247,0.02000566746380925,0.02986057134413879,0.02
82,1326.3005347497765,855.1831228906193,0.6946260399747487,0.02000645708820739,0.02999951420972491,0.02
83,1326.3005347497765,860.2607811826426,0.6971392321312647,0.020004779847926018,0.03057099136018099,0.02
84,1326.3005347497765,853.7727223519895,0.6854116568095511,0.020004925330896373,0.03142007464428258,0.02
85,1326.3005347497765,856.3144685630244,0.6936582798316244,0.02000610070213752,0.03384992059049734,0.02
86,1326.3005347497765,847.1543969278312,0.6966843938057475,0.020005405693109716,0.03502243250192274,0.02
87,1326.3005347497765,852.8206614790083,0.686466886868211,0.020006364034005762,0.03629080675706911,0.02
88,1326.3005347497765,853.6120553597933,0.6902471925622164,0.020007090536415206,0.0362043286006516,0.02
89,1326.3005347497765,854.3652934687082,0.6718651350049883,0.020005684189211812,0.035319133856008406,0.02
90,1326.3005347497765,865.5582469196398,0.6822193677225242,0.020006907778497892,0.03456671832306169,0.02
91,1326.3005347497765,862.3858546799761,0.6821659352173602,0.02000522124925648,0.030628457553902897,0.02
92,1326.3005347497765,851.2633505249205,0.6847101595091571,0.02000478118639758,0.027565611798512607,0.02
93,1326.3005347497765,858.1106966090481,0.6791155600016917,0.02000419439185515,0.027934050618661346,0.02
94,1326.3005347497765,867.3917520810346,0.6643231819660345,0.020005326391769787,0.02968610010224976,0.02
95,1326.3005347497765,859.1040338875719,0.6773043952818977,0.02000572042440113,0.029943296543637688,0.02
96,1326.3005347497765,867.0703148127503,0.6760291935367998,0.0200040487866244,0.02694896688927392,0.02
97,1326.3005347497765,858.9291110047456,0.6879805508871192,0.020004068786988467,0.02795777390405023,0.02
98,1326.3005347497765,871.6801295095997,0.6685083132370149,0.020003829077251904,0.028733425085073778,0.02
99,1326.3005347497765,858.843847029708,0.6818555464953531,0.020004467162681772,0.028562785279269105,0.02
100,1326.3005347497765,863.4882761452312,0.6696412179006922,0.020004856054428876,0.02864768322193043,0.02
101,1326.3005347497765,869.8215122484086,0.6608296243357232,0.020004551531216285,0.02949707567871525,0.02
102,1326.3005347497765,870.6944325438981,0.6748147431314153,0.020006088415039314,0.02931573452087476,0.02
103,1326.3005347497765,872.8530766561844,0.666055166849638,0.020004640017264392,0.029853303844538433,0.02
104,1326.3005347497765,877.1288892020282,0.670112349051492,0.020005308834977097,0.03037530826785767,0.02
105,1326.3005347497765,874.8925493808316,0.6673538080703076,0.020004017863623637,0.030991425820782466,0.02
106,1326.3005347497765,870.4852614227448,0.6660116204557609,0.02000428991233036,0.03151512574076855,0.02
107,1326.3005347497765,873.1924802418979,0.658084288114963,0.020005967355651418,0.03162656655707262,0.02
108,1326.3005347497765,868.6120588404827,0.6686882609394609,0.02000682038565358,0.032651812342742496,0.02
109,1326.3005347497765,867.9848505049509,0.6711887124479375,0.020008048117717506,0.032592750168750476,0.02
110,1326.3005347497765,879.056679471744,0.6690081424122699,0.020007451684902464,0.0323913376434379,0.02
111,1326.3005347497765,866.0724753894194,0.6606948457185045,0.02000490891585161,0.03194440170280457,0.02
112,1326.3005347497765,878.3510462659513,0.6676760950963793,0.02000628036787775,0.03270829700293944,0.02
113,1326.3005347497765,881.2977879124203,0.6537162730781201,0.02000602386509083,0.03196871911916519,0.02
114,1326.3005347497765,866.2599337113189,0.6766792668582158,0.02000494472903234,0.03201212092870977,0.02
115,1326.3005347497765,875.814515165141,0.6606770198462925,0.020004941130586155,0.028548151768998425,0.02
116,1326.3005347497765,884.2542727044118,0.6518919472198746,0.02000519578722085,0.030041162679055104,0.02
117,1326.3005347497765,873.5302773392622,0.6633010332420046,0.020005113391629598,0.03120292202621345,0.02
118,1326.3005347497765,873.2964866643179,0.657702157187777,0.020004768670043315,0.027933341770034634,0.02
119,1326.3005347497765,881.9977832080197,0.6508709766799449,0.020004158429358942,0.029306674259697837,0.02
