iteration,best_fitness,avg_fitness,diversity,pheromone_avg,exploitation_rate
0,456.6625997497798,343.12012252703613,0.8046142620929686,1.8286706349207358,0.7
1,487.20087706575896,349.6302502593423,0.780920994465424,1.6832514304105795,0.7016
2,488.4064370952399,353.28402663691475,0.7994943211202047,1.554253099308841,0.7031999999999999
3,508.28503823706745,352.97644915091564,0.798230842314479,1.4377903727160342,0.7048
4,508.28503823706745,349.70513415398744,0.7634008514954523,1.3322067921617045,0.7063999999999999
5,508.28503823706745,355.10054225704346,0.7818725913965313,1.236477183833607,0.708
6,508.28503823706745,356.53852784658454,0.7709765167728407,1.1516462799834128,0.7096
7,508.28503823706745,359.1907389318424,0.7833123191068706,1.0729510855761393,0.7111999999999999
8,508.28503823706745,355.2804000199165,0.7623625275704885,1.003002708786443,0.7128
9,508.28503823706745,359.35317782774064,0.7821189724828255,0.9437965257560108,0.7143999999999999
10,508.28503823706745,365.2895408959864,0.7515685196780005,0.8874213004703974,0.716
11,508.28503823706745,356.41815560283874,0.7301958536176636,0.838586894812446,0.7176
12,508.28503823706745,354.5245690391984,0.7760949863942942,0.7901775082378629,0.7192
13,529.1525423794516,373.4599883089799,0.7413449583772409,0.7472090556270543,0.7208
14,529.1525423794516,364.2235302348058,0.760570203628991,0.7100760453667813,0.7223999999999999
15,529.1525423794516,354.20262745678383,0.7922678492965186,0.6775044407902662,0.724
16,529.1525423794516,362.632832078878,0.7396841581801936,0.6456430357695538,0.7255999999999999
17,529.1525423794516,364.31033276260996,0.7784628305260851,0.6165028018886635,0.7272
18,529.1525423794516,361.37306749927205,0.800570775199629,0.592403237065756,0.7288
19,529.1525423794516,365.88332774325283,0.7817444455539134,0.5714106796938241,0.7303999999999999
20,529.1525423794516,367.6890598495075,0.7366255373838837,0.5496508280059448,0.732
21,529.1525423794516,363.7530206237826,0.7395225748840347,0.5313371378080521,0.7335999999999999
22,529.1525423794516,365.51259041749887,0.7288827704090315,0.5110817431433896,0.7352
23,562.0110433162189,370.82743740984665,0.7226415540672733,0.49408821539718006,0.7368
24,562.0110433162189,364.7154145787883,0.7871731665271566,0.48172753197637075,0.7384
25,562.0110433162189,372.23225104341645,0.7358535201523625,0.4683451873620673,0.74
26,562.0110433162189,370.7585619756168,0.7344196163153519,0.45644269295889073,0.7415999999999999
27,562.0110433162189,369.79446160983264,0.7435295003936471,0.4427255020304674,0.7432
28,562.0110433162189,357.7545556686363,0.7644584762837658,0.43439749571453246,0.7448
29,567.452153399274,368.89367349325624,0.7570589217189951,0.4234748513040046,0.7464
30,567.452153399274,377.3236982799227,0.7394559971033421,0.41154431414420894,0.748
31,567.452153399274,376.09913966227964,0.7569353381583647,0.4057935064579465,0.7495999999999999
32,567.452153399274,378.53823980019286,0.7538450900335785,0.39838083178756517,0.7512
